run_date,Identifier 1,d15Na,d15Nb,SP,d15Nbulk,d17O,d18O,15Ralpha,15Rbeta
191202,Ward_1325,16.487616417153017,-2.0880620076112466,18.575678424764263,7.199777204770886,31.150200397549234,61.249979333672265,0.003737116721757663,0.0036688232400290174
191202,Ward_1326,14.410425419911999,-4.046759644271258,18.457185064183257,5.18183288782037,30.94943697926955,60.84958217597247,0.0037294799290563062,0.003661622088167837
191202,Ward_1327,12.545117863718813,-4.387980017166893,16.933097880885704,4.07856892327596,28.712067161656307,56.39238092464627,0.0037226221258259626,0.003660367591466886
191202,Ward_1328,26.163628264750606,11.20934855962652,14.954279705124087,18.686488412188563,27.578688945534946,54.13797499468798,0.0037726905793153557,0.003717711169979467
191202,Ward_1329,28.707087078784667,8.683813211111335,20.023273867673332,18.695450144948,30.024989860162556,59.006833387512444,0.0037820416056451515,0.0037084260392706513
191202,Ward_1330,35.47012838004648,26.1021129019694,9.368015478077083,30.78612064100794,30.97225521695668,60.89508657153719,0.003806905926989241,0.0037724644180840905
191202,Ward_1331,26.759750358954282,8.190102818540934,18.56964754041335,17.474926588747607,31.073239079128623,61.09648110813182,0.003774882222194695,0.0037066109130123657
191202,Ward_1332,22.816400929986493,5.4468735146924185,17.369527415294073,14.131637222339457,29.244155359563486,57.45156315908573,0.0037603844980190954,0.003696525430476767
191202,Ward_1333,32.09164589428815,16.7545286348767,15.33711725941145,24.423087264582424,27.84687260935259,54.67120937453451,0.00379448493613035,0.0037380980245261246
191202,Ward_1334,304.5498727045044,104.27202125895074,200.27785144555367,204.4109469817276,64.39411861506095,128.5587160086612,0.00479617760699811,0.004059856086158532
191202,Ward_1335,280.7531036035642,92.71394090099028,188.03916270257395,186.73352225227725,64.54041553683653,128.85934798636333,0.004708688785398504,0.0040173628037224905
191202,Ward_1336,152.26579094528137,35.775124228492494,116.49066671678887,94.02045758688693,44.290105304299665,87.61483377382385,0.004236305180410327,0.0038080272442260524
191202,Ward_1337,599.4334912286353,656.4048730625576,-56.97138183392235,627.9191821455964,60.15615435798427,119.86676067459734,0.005880317230502078,0.006089772515814493
191202,Ward_1338,645.8719747812647,712.1178990544747,-66.24592427321,678.9949369178697,59.569639871914106,118.66639696258675,0.00605104831528332,0.006294601455873777
191203,Ward_1339,684.7085550547824,655.4360007128886,29.27255434189385,670.0722778838356,59.67062790717015,118.87303521519877,0.006193831002658908,0.0060862104566209345
191203,Ward_1340,749.601649407137,965.5965216990081,-215.99487229187116,857.5990855530725,57.41389594884816,114.25979379298256,0.006432410464045339,0.007226515612026404
191203,Ward_1341,695.1468195622751,807.405466472001,-112.25864690972583,751.2761430171381,58.71545426617253,116.91933060700998,0.006232207282120705,0.006644926197484312
191203,Ward_1342,1921.5759027020595,2796.9723267130935,-875.396424011034,2359.2741147075767,31.051288723938917,61.052703414909985,0.010741173806284122,0.013959568759160688
191205,Ward_1343,16.542312596136366,-2.409065793753218,18.951378389889584,7.066623401191574,31.419559716844738,61.78729718687626,0.0037373178122596953,0.003667643069609266
191205,Ward_1344,20.4671434342496,4.974247544747623,15.492895889501977,12.720695489498612,31.377221153292332,61.70283151926959,0.0037517474528360184,0.003694787821098265
191205,Ward_1345,14.026878442003898,-1.2426811056960307,15.269559547699929,6.392098668153934,29.1558616788683,57.27576896773012,0.0037280698185920276,0.0036719312829149088
191205,Ward_1346,193.4742645108214,182.00294831851437,11.471316192307029,187.73860641466788,29.963101963344396,58.883524384810485,0.004387808133474035,0.004345633839493018
191205,Ward_1347,115.18096324024852,100.97180019770624,14.209163042542272,108.07638171897739,30.632316291673067,60.21727420086065,0.0040999628113527736,0.004047722823426867
191205,Ward_1348,98.5046328254835,82.5240297101073,15.980603115376198,90.5143312677954,30.774151541705486,60.50005741501208,0.0040386522825828905,0.00397989959522921
191205,Ward_1349,208.18113337531742,195.44878330312554,12.732350072191878,201.81495833922148,29.840278318127076,58.6388240771063,0.004441877936854355,0.004395067451813941
191205,Ward_1350,237.53367577254036,226.28955753760914,11.244118234931221,231.91161665507474,29.573373999837614,58.10716767167157,0.004549792558977745,0.00450845355828702
191205,Ward_1351,207.23069663174297,195.9310290041578,11.299667627585166,201.5808628179504,29.842301319185527,58.64285425996884,0.004438383656166603,0.004396840428133786
